age,income,savings,rent_payment,mortgage_payment,management_fee,govt_rates,stamp_duty,renovation,reverse_income,reverse_lien,net_cashflow,investment_balance,property_value,net_worth
23,300000.0,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42857.14285714287,257142.85714285713,0.0,257142.85714285713
24,312000.0,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54857.14285714287,524571.4285714285,0.0,524571.4285714285
25,324480.00000000006,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67337.14285714293,802697.1428571428,0.0,802697.1428571428
26,337459.2,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80316.34285714288,1091947.8857142858,0.0,1091947.8857142858
27,350957.5680000001,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93814.71085714296,1392768.6582857142,0.0,1392768.6582857142
28,364995.87072000006,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107853.01357714293,1705622.26176,0.0,1705622.26176
29,379595.7055488001,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122452.84840594299,2030990.009373257,0.0,2030990.009373257
30,394779.5337707521,0.0,0.0,267147.81961157825,18000.0,8400.0,225000.0,0.0,0.0,0.0,-123768.28584082617,188461.3239073613,6000000.0,6188461.323907361
31,410570.71512158215,0.0,0.0,267147.81961157825,18360.0,8568.0,0.0,0.0,0.0,0.0,116494.8955100039,195999.77686365577,6180000.0,6375999.776863656
32,426993.54372644547,0.0,0.0,267147.81961157825,18727.2,8739.36,0.0,0.0,0.0,0.0,132379.16411486722,203839.767938202,6365400.0,6569239.767938202
33,444073.2854755033,0.0,0.0,267147.81961157825,19101.744000000002,8914.147200000001,0.0,0.0,0.0,0.0,148909.57466392504,211993.3586557301,6556362.0,6768355.35865573
34,461836.2168945235,0.0,0.0,267147.81961157825,19483.778879999998,9092.430144,0.0,0.0,0.0,0.0,166112.18825894524,220473.0930019593,6753052.86,6973525.953001959
35,480309.66557030444,0.0,0.0,267147.81961157825,19873.4544576,9274.27874688,0.0,0.0,0.0,0.0,184014.11275424616,229292.01672203766,6955644.445800001,7184936.462522038
36,499522.05219311663,0.0,0.0,267147.81961157825,20270.923546752,9459.7643218176,0.0,0.0,0.0,0.0,202643.54471296875,238463.69739091917,7164313.779174001,7402777.4765649205
37,519502.9342808413,0.0,0.0,267147.81961157825,20676.342017687042,9648.959608253954,0.0,0.0,0.0,0.0,222029.81304332206,248002.24528655596,7379243.192549221,7627245.437835777
38,540283.0516520749,0.0,0.0,267147.81961157825,21089.868858040783,9841.938800419033,0.0,0.0,0.0,0.0,242203.42438203684,257922.3350980182,7600620.488325698,7858542.823423716
39,561894.373718158,0.0,0.0,267147.81961157825,21511.6662352016,10038.777576427414,0.0,0.0,0.0,0.0,263196.1102949507,268239.2285019389,7828639.102975469,8096878.331477408
