age,income,savings,rent_payment,mortgage_payment,management_fee,govt_rates,stamp_duty,renovation,reverse_income,reverse_lien,net_cashflow,investment_balance,property_value,net_worth
23,300000.0,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42857.14285714287,257142.85714285713,0.0,257142.85714285713
24,312000.0,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54857.14285714287,524571.4285714285,0.0,524571.4285714285
25,324480.00000000006,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67337.14285714293,802697.1428571428,0.0,802697.1428571428
26,337459.2,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80316.34285714288,1091947.8857142858,0.0,1091947.8857142858
27,350957.5680000001,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93814.71085714296,1392768.6582857142,0.0,1392768.6582857142
28,364995.87072000006,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107853.01357714293,1705622.26176,0.0,1705622.26176
29,379595.7055488001,257142.85714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122452.84840594299,2030990.009373257,0.0,2030990.009373257
30,394779.5337707521,0.0,0.0,198402.86042820633,18000.0,8400.0,225000.0,0.0,0.0,0.0,-55023.32665745425,257206.28309073322,6000000.0,6257206.283090733
31,410570.71512158215,0.0,0.0,198402.86042820633,18360.0,8568.0,0.0,0.0,0.0,0.0,185239.85469337582,267494.53441436257,6180000.0,6447494.534414362
32,426993.54372644547,0.0,0.0,198402.86042820633,18727.2,8739.36,0.0,0.0,0.0,0.0,201124.12329823914,278194.3157909371,6365400.0,6643594.315790937
33,444073.2854755033,0.0,0.0,198402.86042820633,19101.744000000002,8914.147200000001,0.0,0.0,0.0,0.0,217654.53384729696,289322.0884225746,6556362.0,6845684.088422575
34,461836.2168945235,0.0,0.0,198402.86042820633,19483.778879999998,9092.430144,0.0,0.0,0.0,0.0,234857.14744231713,300894.97195947764,6753052.86,7053947.831959478
35,480309.66557030444,0.0,0.0,198402.86042820633,19873.4544576,9274.27874688,0.0,0.0,0.0,0.0,252759.0719376181,312930.77083785675,6955644.445800001,7268575.216637857
36,499522.05219311663,0.0,0.0,198402.86042820633,20270.923546752,9459.7643218176,0.0,0.0,0.0,0.0,271388.5038963407,325448.00167137105,7164313.779174001,7489761.780845372
37,519502.9342808413,0.0,0.0,198402.86042820633,20676.342017687042,9648.959608253954,0.0,0.0,0.0,0.0,290774.772226694,338465.9217382259,7379243.192549221,7717709.114287447
38,540283.0516520749,0.0,0.0,198402.86042820633,21089.868858040783,9841.938800419033,0.0,0.0,0.0,0.0,310948.38356540876,352004.55860775494,7600620.488325698,7952625.0469334535
39,561894.373718158,0.0,0.0,198402.86042820633,21511.6662352016,10038.777576427414,0.0,0.0,0.0,0.0,331941.06947832264,366084.74095206516,7828639.102975469,8194723.843927534
