age,income,rent_payment,savings,extra_invest,buyer_equivalent_deployment,renter_total_deployment,net_cashflow,investment_balance,net_worth
23,300000.0,168000.0,0.0,89142.85714285713,257142.85714285713,257142.85714285713,42857.14285714287,89142.85714285713,89142.85714285713
24,312000.0,168000.0,0.0,89142.85714285713,257142.85714285713,257142.85714285713,54857.14285714287,184525.71428571426,184525.71428571426
25,324480.00000000006,178231.19999999998,0.0,78911.65714285715,257142.85714285713,257142.85714285713,67337.14285714293,276354.17142857146,276354.17142857146
26,337459.2,178231.19999999998,0.0,78911.65714285715,257142.85714285713,257142.85714285713,80316.34285714288,374610.6205714286,374610.6205714286
27,350957.5680000001,189085.48007999998,0.0,68057.37706285715,257142.85714285713,257142.85714285713,93814.71085714296,468890.7410742858,468890.7410742858
28,364995.87072000006,189085.48007999998,0.0,68057.37706285715,257142.85714285713,257142.85714285713,107853.01357714293,569770.470012343,569770.470012343
29,379595.7055488001,200600.78581687197,0.0,56542.07132598516,257142.85714285713,257142.85714285713,122452.84840594299,666196.4742391922,666196.4742391922
30,394779.5337707521,200600.78581687197,0.0,249202.07461133436,449802.86042820633,449802.86042820633,-55023.32665745425,962032.3020472701,962032.3020472701
31,410570.71512158215,212817.3736731195,0.0,12513.486755086837,225330.86042820633,225330.86042820633,185239.85469337582,1041888.0499456659,1041888.0499456659
32,426993.54372644547,212817.3736731195,0.0,13052.046755086834,225869.42042820633,225869.42042820633,201124.12329823914,1127872.2601969494,1127872.2601969494
33,444073.2854755033,225777.95172981248,0.0,640.7998983938596,226418.75162820634,226418.75162820634,217654.53384729696,1207464.1183091297,1207464.1183091297
34,461836.2168945235,225777.95172981248,0.0,1201.1177223938575,226979.06945220634,226979.06945220634,234857.14744231713,1293187.7243131627,1293187.7243131627
35,480309.66557030444,239527.82899015804,0.0,-11977.235357471713,227550.59363268633,227550.59363268633,252759.0719376181,1371733.6296576124,1371733.6296576124
36,499522.05219311663,239527.82899015804,0.0,-11394.280693382112,228133.54829677593,228133.54829677593,271388.5038963407,1456360.7030402634,1456360.7030402634
37,519502.9342808413,254115.07377565868,0.0,-25386.911721511337,228728.16205414734,228728.16205414734,290774.772226694,1532919.0405315706,1532919.0405315706
38,540283.0516520749,254115.07377565868,0.0,-24780.405688992527,229334.66808666615,229334.66808666615,310948.38356540876,1615442.9676797881,1615442.9676797881
39,561894.373718158,269590.6817685963,0.0,-39637.37752876096,229953.30423983533,229953.30423983533,331941.06947832264,1688886.5978886124,1688886.5978886124
40,584370.1486668843,269590.6817685963,0.0,-39006.368652528356,230584.31311606793,230584.31311606793,353785.8355508164,1768102.291088287,1768102.291088287
41,607744.9546135598,286008.7542883038,0.0,-54780.812118478614,231227.94216982517,231227.94216982517,376517.01244373457,1837088.6393459886,1837088.6393459886
42,632054.7527981021,286008.7542883038,0.0,-54124.31048364623,231884.44380465755,231884.44380465755,400170.30899344455,1911560.533616562,1911560.533616562
