age,income,rent_payment,savings,extra_invest,buyer_equivalent_deployment,renter_total_deployment,net_cashflow,investment_balance,net_worth
23,300000.0,168000.0,0.0,89142.85714285713,257142.85714285713,257142.85714285713,42857.14285714287,89142.85714285713,89142.85714285713
24,312000.0,168000.0,0.0,89142.85714285713,257142.85714285713,257142.85714285713,54857.14285714287,184525.71428571426,184525.71428571426
25,324480.00000000006,178231.19999999998,0.0,78911.65714285715,257142.85714285713,257142.85714285713,67337.14285714293,276354.17142857146,276354.17142857146
26,337459.2,178231.19999999998,0.0,78911.65714285715,257142.85714285713,257142.85714285713,80316.34285714288,374610.6205714286,374610.6205714286
27,350957.5680000001,189085.48007999998,0.0,68057.37706285715,257142.85714285713,257142.85714285713,93814.71085714296,468890.7410742858,468890.7410742858
28,364995.87072000006,189085.48007999998,0.0,68057.37706285715,257142.85714285713,257142.85714285713,107853.01357714293,569770.470012343,569770.470012343
29,379595.7055488001,200600.78581687197,0.0,56542.07132598516,257142.85714285713,257142.85714285713,122452.84840594299,666196.4742391922,666196.4742391922
30,394779.5337707521,200600.78581687197,0.0,317947.0337947063,518547.81961157825,518547.81961157825,-123768.28584082617,1030777.261230642,1030777.261230642
31,410570.71512158215,212817.3736731195,0.0,81258.44593845875,294075.81961157825,294075.81961157825,116494.8955100039,1184190.1154552456,1184190.1154552456
32,426993.54372644547,212817.3736731195,0.0,81797.00593845875,294614.37961157825,294614.37961157825,132379.16411486722,1348880.4294755715,1348880.4294755715
33,444073.2854755033,225777.95172981248,0.0,69385.75908176578,295163.71081157826,295163.71081157826,148909.57466392504,1512687.8186206273,1512687.8186206273
34,461836.2168945235,225777.95172981248,0.0,69946.07690576575,295724.02863557823,295724.02863557823,166112.18825894524,1688522.0428298372,1688522.0428298372
35,480309.66557030444,239527.82899015804,0.0,56767.72382590023,296295.5528160583,296295.5528160583,184014.11275424616,1863486.309653826,1863486.309653826
36,499522.05219311663,239527.82899015804,0.0,57350.678489989834,296878.5074801479,296878.5074801479,202643.54471296875,2051281.0298195838,2051281.0298195838
37,519502.9342808413,254115.07377565868,0.0,43358.04746186058,297473.12123751926,297473.12123751926,222029.81304332206,2238228.7493688157,2238228.7493688157
38,540283.0516520749,254115.07377565868,0.0,43964.55349437939,298079.62727003807,298079.62727003807,242203.42438203684,2438869.3153190124,2438869.3153190124
39,561894.373718158,269590.6817685963,0.0,29107.581654610985,298698.2634232073,298698.2634232073,263196.1102949507,2638697.7490459546,2638697.7490459546
40,584370.1486668843,269590.6817685963,0.0,29738.590530843532,299329.2722994398,299329.2722994398,285040.87636744446,2853145.182010015,2853145.182010015
41,607744.9546135598,286008.7542883038,0.0,13964.147064893274,299972.90135319706,299972.90135319706,307772.0532603627,3066829.49181561,3066829.49181561
42,632054.7527981021,286008.7542883038,0.0,14620.648699725687,300629.40298802947,300629.40298802947,331425.3498100726,3296128.204942428,3296128.204942428
