age,income,rent_payment,savings,extra_invest,buyer_equivalent_deployment,renter_total_deployment,net_cashflow,investment_balance,net_worth
23,300000.0,168000.0,0.0,89142.85714285713,257142.85714285713,257142.85714285713,42857.14285714287,89142.85714285713,89142.85714285713
24,312000.0,168000.0,0.0,89142.85714285713,257142.85714285713,257142.85714285713,54857.14285714287,184525.71428571426,184525.71428571426
25,324480.00000000006,185220.0,0.0,71922.85714285713,257142.85714285713,257142.85714285713,67337.14285714293,269365.3714285714,269365.3714285714
26,337459.2,185220.0,0.0,71922.85714285713,257142.85714285713,257142.85714285713,80316.34285714288,360143.80457142857,360143.80457142857
27,350957.5680000001,204205.05000000002,0.0,52937.80714285711,257142.85714285713,257142.85714285713,93814.71085714296,438291.6780342857,438291.6780342857
28,364995.87072000006,204205.05000000002,0.0,52937.80714285711,257142.85714285713,257142.85714285713,107853.01357714293,521909.9026395429,521909.9026395429
29,379595.7055488001,225136.06762500003,0.0,32006.789517857105,257142.85714285713,257142.85714285713,122452.84840594299,590450.385342168,590450.385342168
30,394779.5337707521,225136.06762500003,0.0,224666.7928032063,449802.86042820633,449802.86042820633,-55023.32665745425,856448.7051193262,856448.7051193262
31,410570.71512158215,248212.51455656253,0.0,-22881.654128356196,225330.86042820633,225330.86042820633,185239.85469337582,893518.460349323,893518.460349323
32,426993.54372644547,248212.51455656253,0.0,-22343.0941283562,225869.42042820633,225869.42042820633,201124.12329823914,933721.6584454195,933721.6584454195
33,444073.2854755033,273654.2972986102,0.0,-47235.545670403866,226418.75162820634,226418.75162820634,217654.53384729696,951846.6288661951,951846.6288661951
34,461836.2168945235,273654.2972986102,0.0,-46675.22784640387,226979.06945220634,226979.06945220634,234857.14744231713,971800.665040425,971800.665040425
35,480309.66557030444,301703.8627717178,0.0,-74153.26913903144,227550.59363268633,227550.59363268633,252759.0719376181,965673.4424542234,965673.4424542234
36,499522.05219311663,301703.8627717178,0.0,-73570.31447494184,228133.54829677593,228133.54829677593,271388.5038963407,959700.2689510772,959700.2689510772
37,519502.9342808413,332628.5087058188,0.0,-103900.34665167145,228728.16205414734,228728.16205414734,290774.772226694,922978.9411259813,922978.9411259813
38,540283.0516520749,332628.5087058188,0.0,-103293.84061915264,229334.66808666615,229334.66808666615,310948.38356540876,884293.6263856473,884293.6263856473
39,561894.373718158,366722.9308481653,0.0,-136769.62660832997,229953.30423983533,229953.30423983533,331941.06947832264,809424.5536243127,809424.5536243127
40,584370.1486668843,366722.9308481653,0.0,-136138.61773209737,230584.31311606793,230584.31311606793,353785.8355508164,729945.6546459172,729945.6546459172
41,607744.9546135598,404312.03126010223,0.0,-173084.08909027706,231227.94216982517,231227.94216982517,376517.01244373457,607957.7613808544,607957.7613808544
42,632054.7527981021,404312.03126010223,0.0,-172427.58745544468,231884.44380465755,231884.44380465755,400170.30899344455,478087.21722206956,478087.21722206956
