age,income,rent_payment,savings,extra_invest,buyer_equivalent_deployment,renter_total_deployment,net_cashflow,investment_balance,net_worth
23,300000.0,168000.0,0.0,89142.85714285713,257142.85714285713,257142.85714285713,42857.14285714287,89142.85714285713,89142.85714285713
24,312000.0,168000.0,0.0,89142.85714285713,257142.85714285713,257142.85714285713,54857.14285714287,184525.71428571426,184525.71428571426
25,324480.00000000006,171376.8,0.0,85766.05714285714,257142.85714285713,257142.85714285713,67337.14285714293,283208.5714285714,283208.5714285714
26,337459.2,171376.8,0.0,85766.05714285714,257142.85714285713,257142.85714285713,80316.34285714288,388799.22857142857,388799.22857142857
27,350957.5680000001,174821.47368,0.0,82321.38346285713,257142.85714285713,257142.85714285713,93814.71085714296,498336.55803428567,498336.55803428567
28,364995.87072000006,174821.47368,0.0,82321.38346285713,257142.85714285713,257142.85714285713,107853.01357714293,615541.5005595428,615541.5005595428
29,379595.7055488001,178335.385300968,0.0,78807.47184188914,257142.85714285713,257142.85714285713,122452.84840594299,737436.8774406,737436.8774406
30,394779.5337707521,178335.385300968,0.0,271467.4751272383,449802.86042820633,449802.8604282063,-55023.32665745422,1060524.9339886804,1060524.9339886804
31,410570.71512158215,181919.92654551746,0.0,43410.93388268887,225330.86042820633,225330.86042820633,185239.85469337582,1178172.613250577,1178172.613250577
32,426993.54372644547,181919.92654551746,0.0,43949.49388268887,225869.42042820633,225869.42042820633,201124.12329823914,1304594.1900608062,1304594.1900608062
33,444073.2854755033,185576.51706908236,0.0,40842.23455912399,226418.75162820634,226418.75162820634,217654.53384729696,1436758.0179241868,1436758.0179241868
34,461836.2168945235,185576.51706908236,0.0,41402.552383123984,226979.06945220634,226979.06945220634,234857.14744231713,1578733.6315620039,1578733.6315620039
35,480309.66557030444,189306.60506217091,0.0,38243.988570515416,227550.59363268633,227550.59363268633,252759.07193761808,1727488.9743418596,1727488.9743418596
36,499522.05219311663,189306.60506217091,0.0,38826.943234605016,228133.54829677593,228133.54829677593,271388.5038963407,1887240.1457803948,1887240.1457803948
37,519502.9342808413,193111.66782392055,0.0,35616.49423022679,228728.16205414734,228728.16205414734,290774.772226694,2054963.4502152493,2054963.4502152493
38,540283.0516520749,193111.66782392055,0.0,36223.0002627456,229334.66808666615,229334.66808666615,310948.38356540876,2235033.8919930626,2235033.8919930626
39,561894.373718158,196993.21234718134,0.0,32960.09189265399,229953.30423983533,229953.30423983533,331941.06947832264,2424446.356325231,2424446.356325231
40,584370.1486668843,196993.21234718134,0.0,33591.100768886594,230584.31311606793,230584.31311606793,353785.8355508164,2627748.7020368837,2627748.7020368837
41,607744.9546135598,200952.7759153597,0.0,30275.16625446547,231227.94216982517,231227.94216982517,376517.01244373457,2841966.2774339314,2841966.2774339314
42,632054.7527981021,200952.7759153597,0.0,30931.667889297853,231884.44380465755,231884.44380465755,400170.30899344455,3071835.5847436045,3071835.5847436045
